index,Customer Id,Customer Fname,Customer Lname,Customer Email,Customer Password,Customer Segment
0,20755,Cally,Holloway,XXXXXXXXX,XXXXXXXXX,Consumer
1,19492,irene,luna,XXXXXXXXX,XXXXXXXXX,Consumer
2,19491,gillian,maldonado,XXXXXXXXX,XXXXXXXXX,Consumer
3,19490,Tana,Tate,XXXXXXXXX,XXXXXXXXX,Home Office
4,19489,Orli,Hendricks,XXXXXXXXX,XXXXXXXXX,Corporate
5,19488,Kimberly,Flowers,XXXXXXXXX,XXXXXXXXX,Consumer
6,19487,Constance,Terrell,XXXXXXXXX,XXXXXXXXX,Home Office
7,19486,Erica,Stevens,XXXXXXXXX,XXXXXXXXX,Corporate
8,19485,Nichole,Olsen,XXXXXXXXX,XXXXXXXXX,Corporate
9,19484,oprah,delacruz,XXXXXXXXX,XXXXXXXXX,Corporate
10,19483,germane,short,XXXXXXXXX,XXXXXXXXX,Corporate
11,19482,freya,robbins,XXXXXXXXX,XXXXXXXXX,Consumer
12,19481,cassandra,jensen,XXXXXXXXX,XXXXXXXXX,Corporate
13,19480,natalie,mcfadden,XXXXXXXXX,XXXXXXXXX,Corporate
14,19479,Kimberley,Sharpe,XXXXXXXXX,XXXXXXXXX,Corporate
15,19478,Sade,Lancaster,XXXXXXXXX,XXXXXXXXX,Corporate
16,19477,brynne,giles,XXXXXXXXX,XXXXXXXXX,Corporate
17,19476,Ciara,Bird,XXXXXXXXX,XXXXXXXXX,Corporate
18,19475,bo,griffin,XXXXXXXXX,XXXXXXXXX,Consumer
19,19474,Kim,Simon,XXXXXXXXX,XXXXXXXXX,Consumer
20,19473,Kellie,Farmer,XXXXXXXXX,XXXXXXXXX,Corporate
21,19472,alma,conley,XXXXXXXXX,XXXXXXXXX,Corporate
22,19471,Yeo,Bird,XXXXXXXXX,XXXXXXXXX,Corporate
23,19470,Lucy,Mcknight,XXXXXXXXX,XXXXXXXXX,Corporate
24,19469,simone,vance,XXXXXXXXX,XXXXXXXXX,Corporate
25,19468,roary,wheeler,XXXXXXXXX,XXXXXXXXX,Corporate
26,19467,Quail,Ashley,XXXXXXXXX,XXXXXXXXX,Consumer
27,19466,Hannah,Velez,XXXXXXXXX,XXXXXXXXX,Corporate
28,19465,evelyn,kelly,XXXXXXXXX,XXXXXXXXX,Corporate
29,19464,Jael,Mcfarland,XXXXXXXXX,XXXXXXXXX,Consumer
30,19463,Teagan,Romero,XXXXXXXXX,XXXXXXXXX,Consumer
31,19462,Joan,Wilder,XXXXXXXXX,XXXXXXXXX,Consumer
32,19461,basia,watts,XXXXXXXXX,XXXXXXXXX,Consumer
33,19460,Dominique,Rogers,XXXXXXXXX,XXXXXXXXX,Consumer
34,19459,Ainsley,Mathis,XXXXXXXXX,XXXXXXXXX,Consumer
35,19458,Aurora,Sharp,XXXXXXXXX,XXXXXXXXX,Corporate
36,19457,Libby,Bray,XXXXXXXXX,XXXXXXXXX,Corporate
37,19456,amy,lindsay,XXXXXXXXX,XXXXXXXXX,Corporate
38,19455,Ivory,Parks,XXXXXXXXX,XXXXXXXXX,Consumer
39,19454,Karina,Prince,XXXXXXXXX,XXXXXXXXX,Consumer
40,19453,deanna,goff,XXXXXXXXX,XXXXXXXXX,Consumer
41,19452,Dacey,Walters,XXXXXXXXX,XXXXXXXXX,Home Office
42,19451,Adele,Pennington,XXXXXXXXX,XXXXXXXXX,Home Office
43,19450,Sybill,Spencer,XXXXXXXXX,XXXXXXXXX,Home Office
44,19449,Kay,Sandoval,XXXXXXXXX,XXXXXXXXX,Consumer
45,19448,stacy,mckinney,XXXXXXXXX,XXXXXXXXX,Corporate
46,19447,Marah,Lara,XXXXXXXXX,XXXXXXXXX,Corporate
47,19446,Taylor,Wood,XXXXXXXXX,XXXXXXXXX,Corporate
48,9083,mary,frank,XXXXXXXXX,XXXXXXXXX,Home Office
49,4741,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office
50,639,Elizabeth,Pittman,XXXXXXXXX,XXXXXXXXX,Home Office
51,9702,Katherine,Tyler,XXXXXXXXX,XXXXXXXXX,Home Office
52,9114,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office
53,1362,dennis,smith,XXXXXXXXX,XXXXXXXXX,Home Office
54,8011,Mary,Hill,XXXXXXXXX,XXXXXXXXX,Home Office
55,3296,mary,smith,XXXXXXXXX,XXXXXXXXX,Home Office
56,3182,Frances,Smith,XXXXXXXXX,XXXXXXXXX,Home Office
57,7864,Alice,Smith,XXXXXXXXX,XXXXXXXXX,Home Office
58,11169,kyle,thomas,XXXXXXXXX,XXXXXXXXX,Home Office
59,5197,Brenda,Jordan,XXXXXXXXX,XXXXXXXXX,Home Office
60,1535,frank,livingston,XXXXXXXXX,XXXXXXXXX,Home Office
61,6122,Johnny,Smith,XXXXXXXXX,XXXXXXXXX,Home Office
62,9451,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office
63,542,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office
64,11329,Hannah,Smith,XXXXXXXXX,XXXXXXXXX,Home Office
65,3570,Mary,Nelson,XXXXXXXXX,XXXXXXXXX,Home Office
66,650,austin,sexton,XXXXXXXXX,XXXXXXXXX,Home Office
67,9353,michael,scott,XXXXXXXXX,XXXXXXXXX,Home Office
68,54,Mary,Olson,XXXXXXXXX,XXXXXXXXX,Home Office
69,12151,Vincent,Krueger,XXXXXXXXX,XXXXXXXXX,Home Office
71,10018,Gregory,Rodriguez,XXXXXXXXX,XXXXXXXXX,Home Office
73,4936,kyle,smith,XXXXXXXXX,XXXXXXXXX,Home Office
74,8707,Lisa,Smith,XXXXXXXXX,XXXXXXXXX,Home Office
75,1025,Megan,Todd,XXXXXXXXX,XXXXXXXXX,Home Office
76,8831,mary,smith,XXXXXXXXX,XXXXXXXXX,Home Office
77,10679,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office
78,5007,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office
80,9854,mary,smith,XXXXXXXXX,XXXXXXXXX,Home Office
81,376,grace,sanchez,XXXXXXXXX,XXXXXXXXX,Home Office
82,5417,Dennis,Meyer,XXXXXXXXX,XXXXXXXXX,Home Office
83,10759,Douglas,Smith,XXXXXXXXX,XXXXXXXXX,Home Office
84,8541,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office
86,3752,mary,vega,XXXXXXXXX,XXXXXXXXX,Home Office
87,4673,Wayne,Hodges,XXXXXXXXX,XXXXXXXXX,Home Office
88,5367,Mary,Mccormick,XXXXXXXXX,XXXXXXXXX,Home Office
90,10485,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Home Office
91,9272,ronald,blackwell,XXXXXXXXX,XXXXXXXXX,Home Office
92,647,Mary,Rios,XXXXXXXXX,XXXXXXXXX,Consumer
93,6398,Tammy,Smith,XXXXXXXXX,XXXXXXXXX,Consumer
94,4209,mary,lara,XXXXXXXXX,XXXXXXXXX,Consumer
95,8917,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer
96,7784,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer
97,1425,Christina,Harvey,XXXXXXXXX,XXXXXXXXX,Consumer
98,2737,mary,smith,XXXXXXXXX,XXXXXXXXX,Consumer
99,6428,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer
100,6543,Alexander,Smith,XXXXXXXXX,XXXXXXXXX,Consumer
101,3990,Sandra,Smith,XXXXXXXXX,XXXXXXXXX,Consumer
102,8524,ruth,farrell,XXXXXXXXX,XXXXXXXXX,Consumer
103,9204,Mary,Harris,XXXXXXXXX,XXXXXXXXX,Consumer
104,11761,Lauren,Coleman,XXXXXXXXX,XXXXXXXXX,Consumer
105,9554,Mary,Hayes,XXXXXXXXX,XXXXXXXXX,Consumer
106,5118,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer
107,5506,Gregory,Smith,XXXXXXXXX,XXXXXXXXX,Consumer
108,1423,Mary,Day,XXXXXXXXX,XXXXXXXXX,Consumer
109,138,mary,dawson,XXXXXXXXX,XXXXXXXXX,Consumer
110,6360,mary,phillips,XXXXXXXXX,XXXXXXXXX,Consumer
111,2053,Ronald,Smith,XXXXXXXXX,XXXXXXXXX,Consumer
112,10344,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer
114,3375,mary,sanchez,XXXXXXXXX,XXXXXXXXX,Consumer
115,1339,Melissa,Mack,XXXXXXXXX,XXXXXXXXX,Consumer
118,7247,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer
119,1273,Maria,Evans,XXXXXXXXX,XXXXXXXXX,Consumer
120,6277,eugene,smith,XXXXXXXXX,XXXXXXXXX,Consumer
121,7701,James,Lawson,XXXXXXXXX,XXXXXXXXX,Consumer
122,4126,John,Stokes,XXXXXXXXX,XXXXXXXXX,Consumer
123,9528,Mary,Flores,XXXXXXXXX,XXXXXXXXX,Consumer
124,1853,Mary,Austin,XXXXXXXXX,XXXXXXXXX,Consumer
125,11149,roy,smith,XXXXXXXXX,XXXXXXXXX,Consumer
126,5828,katherine,oconnell,XXXXXXXXX,XXXXXXXXX,Consumer
127,6887,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer
128,4781,janet,smith,XXXXXXXXX,XXXXXXXXX,Consumer
129,10668,Mary,Smith,XXXXXXXXX,XXXXXXXXX,Consumer
130,5421,mary,carlson,XXXXXXXXX,XXXXXXXXX,Consumer
131,10200,Nicole,Smith,XXXXXXXXX,XXXXXXXXX,Consumer
132,11254,Sharon,Smith,XXXXXXXXX,XXXXXXXXX,Consumer
133,11106,mary,navarro,XXXXXXXXX,XXXXXXXXX,Consumer
134,8456,mary,smith,XXXXXXXXX,XXXXXXXXX,Consumer
135,6149,Matthew,Bush,XXXXXXXXX,XXXXXXXXX,Consumer
136,1473,Anthony,Young,XXXXXXXXX,XXXXXXXXX,Consumer
137,1840,Jerry,Smith,XXXXXXXXX,XXXXXXXXX,Consumer
138,6757,Mary,Freeman,XXXXXXXXX,XXXXXXXXX,Consumer
139,3972,Laura,Bennett,XXXXXXXXX,XXXXXXXXX,Consumer
140,9316,megan,sanders,XXXXXXXXX,XXXXXXXXX,Consumer
142,11213,Mary,Black,XXXXXXXXX,XXXXXXXXX,Consumer
143,3474,Jack,Hatfield,XXXXXXXXX,XXXXXXXXX,Consumer
145,14630,Kirestin,Barr,XXXXXXXXX,XXXXXXXXX,Consumer
146,13256,nora,downs,XXXXXXXXX,XXXXXXXXX,Consumer
147,14665,Jennifer,Stokes,XXXXXXXXX,XXXXXXXXX,Consumer
148,13363,madonna,ingram,XXXXXXXXX,XXXXXXXXX,Consumer
149,14645,Noelani,Hyde,XXXXXXXXX,XXXXXXXXX,Consumer
150,13163,Sydnee,Nolan,XXXXXXXXX,XXXXXXXXX,Consumer
151,14553,willa,potter,XXXXXXXXX,XXXXXXXXX,Consumer
152,14287,Alma,Delgado,XXXXXXXXX,XXXXXXXXX,Consumer
153,13179,ila,knight,XXXXXXXXX,XXXXXXXXX,Consumer
154,13035,Belle,Booker,XXXXXXXXX,XXXXXXXXX,Consumer
155,14322,alyssa,contreras,XXXXXXXXX,XXXXXXXXX,Consumer
