Customer Id,Customer Fname,Customer Lname,Customer Email,Customer Password,Customer Segment,Customer Zipcode
20755,Cally,Holloway,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
19492,irene,luna,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
19491,gillian,maldonado,XXXXXXXXX,XXXXXXXXX,Consumer,95125.0
19490,Tana,Tate,XXXXXXXXX,XXXXXXXXX,Home Office,90027.0
19489,Orli,Hendricks,XXXXXXXXX,XXXXXXXXX,Corporate,725.0
19488,Kimberly,Flowers,XXXXXXXXX,XXXXXXXXX,Consumer,14150.0
19487,Constance,Terrell,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
19486,Erica,Stevens,XXXXXXXXX,XXXXXXXXX,Corporate,33162.0
19485,Nichole,Olsen,XXXXXXXXX,XXXXXXXXX,Corporate,725.0
19484,oprah,delacruz,XXXXXXXXX,XXXXXXXXX,Corporate,94583.0
19483,germane,short,XXXXXXXXX,XXXXXXXXX,Corporate,725.0
19482,freya,robbins,XXXXXXXXX,XXXXXXXXX,Consumer,11520.0
19481,cassandra,jensen,XXXXXXXXX,XXXXXXXXX,Corporate,93905.0
19480,natalie,mcfadden,XXXXXXXXX,XXXXXXXXX,Corporate,725.0
19479,Kimberley,Sharpe,XXXXXXXXX,XXXXXXXXX,Corporate,1960.0
19478,Sade,Lancaster,XXXXXXXXX,XXXXXXXXX,Corporate,725.0
19477,brynne,giles,XXXXXXXXX,XXXXXXXXX,Corporate,729.0
19476,Ciara,Bird,XXXXXXXXX,XXXXXXXXX,Corporate,90723.0
19475,bo,griffin,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
19474,Kim,Simon,XXXXXXXXX,XXXXXXXXX,Consumer,60056.0
19473,Kellie,Farmer,XXXXXXXXX,XXXXXXXXX,Corporate,90813.0
19472,alma,conley,XXXXXXXXX,XXXXXXXXX,Corporate,725.0
19471,Yeo,Bird,XXXXXXXXX,XXXXXXXXX,Corporate,95670.0
19470,Lucy,Mcknight,XXXXXXXXX,XXXXXXXXX,Corporate,725.0
19469,simone,vance,XXXXXXXXX,XXXXXXXXX,Corporate,59102.0
19468,roary,wheeler,XXXXXXXXX,XXXXXXXXX,Corporate,725.0
19467,Quail,Ashley,XXXXXXXXX,XXXXXXXXX,Consumer,18702.0
19466,Hannah,Velez,XXXXXXXXX,XXXXXXXXX,Corporate,725.0
19465,evelyn,kelly,XXXXXXXXX,XXXXXXXXX,Corporate,48066.0
19464,Jael,Mcfarland,XXXXXXXXX,XXXXXXXXX,Consumer,90706.0
19463,Teagan,Romero,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
19462,Joan,Wilder,XXXXXXXXX,XXXXXXXXX,Consumer,60187.0
19461,basia,watts,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
19460,Dominique,Rogers,XXXXXXXXX,XXXXXXXXX,Consumer,48238.0
19459,Ainsley,Mathis,XXXXXXXXX,XXXXXXXXX,Consumer,75220.0
19458,Aurora,Sharp,XXXXXXXXX,XXXXXXXXX,Corporate,725.0
19457,Libby,Bray,XXXXXXXXX,XXXXXXXXX,Corporate,17013.0
19456,amy,lindsay,XXXXXXXXX,XXXXXXXXX,Corporate,75228.0
19455,Ivory,Parks,XXXXXXXXX,XXXXXXXXX,Consumer,725.0
19454,Karina,Prince,XXXXXXXXX,XXXXXXXXX,Consumer,19702.0
19453,deanna,goff,XXXXXXXXX,XXXXXXXXX,Consumer,91402.0
19452,Dacey,Walters,XXXXXXXXX,XXXXXXXXX,Home Office,725.0
