Customer Country,Customer State,Customer City,Customer Street,Latitude,Longitude
Puerto Rico,PR,Caguas,5365 Noble Nectar Island,18.2514534,-66.03705597
Puerto Rico,PR,Caguas,2679 Rustic Loop,18.27945137,-66.0370636
EE. UU.,CA,San Jose,8510 Round Bear Gate,37.29223251,-121.881279
EE. UU.,CA,Los Angeles,3200 Amber Bend,34.12594605,-118.2910156
Puerto Rico,PR,Caguas,8671 Iron Anchor Corners,18.25376892,-66.03704834
EE. UU.,NY,Tonawanda,2122 Hazy Corner,43.01396942,-78.87906647
Puerto Rico,PR,Caguas,1879 Green Pine Bank,18.24253845,-66.03705597
EE. UU.,FL,Miami,7595 Cotton Log Row,25.92886925,-80.16287231
Puerto Rico,PR,Caguas,2051 Dusty Route,18.23322296,-66.03705597
EE. UU.,CA,San Ramon,9139 Blue Blossom Court,37.77399063,-121.966629
Puerto Rico,PR,Caguas,4058 Quiet Heights,18.28284454,-66.03705597
EE. UU.,NY,Freeport,3243 Shady Corner,40.65486527,-73.58707428
EE. UU.,CA,Salinas,131 Sunny Treasure Green,36.6763382,-121.656517
Puerto Rico,PR,Caguas,2531 Wishing Square,18.27843857,-66.03705597
EE. UU.,MA,Peabody,6417 Silver Towers,42.52627564,-70.92703247
Puerto Rico,PR,Caguas,257 Harvest Close,18.28404999,-66.03705597
Puerto Rico,PR,Canovanas,7342 Hazy Beacon Park,18.3957901,-65.87288666
EE. UU.,CA,Paramount,7787 Lazy Corners,33.89869309,-118.1745605
Puerto Rico,PR,Caguas,5136 Rustic Pioneer Estates,18.233778,-66.0370636
EE. UU.,IL,Mount Prospect,1723 Tawny Via,42.04830551,-87.96134186
EE. UU.,CA,Long Beach,7111 Silent Fox Gardens,33.78245163,-118.1922455
Puerto Rico,PR,Caguas,3732 Old Mountain Bank,18.28337669,-66.03705597
EE. UU.,CA,Rancho Cordova,6217 Rustic Lake Forest,38.61177445,-121.2828674
Puerto Rico,PR,Caguas,1082 Quiet Treasure Link,18.20733643,-66.03705597
